Publisher Name,Type,Location,Country,Genres/Focus,Contact Email,Phone,Address,Website,Submissions Email,Annual Output,Has Audiobooks,Priority Tier,Notes
Abrams Press,Traditional,NYC,USA,"Nonfiction, illustrated, culture",Via website,N/A,NYC,abramsbooks.com,Via website,N/A,Some,Medium,"Part of Abrams. Strong design"
Roost Books (Shambhala),Traditional,Boulder CO,USA,"Cooking, wellness, sustainable living",Via website,N/A,Boulder CO,roostbooks.com,Via website,N/A,Unknown,High,"Shambhala Publications imprint"
Shambhala Publications,Traditional,Boulder CO,USA,"Buddhism, meditation, mindfulness, wellness",Via website,N/A,Boulder CO,shambhala.com,Via website,N/A,Some,Medium,"Eastern philosophy focus"
Wisdom Publications,Traditional,Somerville MA,USA,"Buddhism, meditation, spiritual",Via website,N/A,Somerville MA,wisdompubs.org,Via website,N/A,Unknown,High,"Buddhist nonprofit publisher"
Parallax Press,Traditional,Berkeley CA,USA,"Mindfulness, Buddhism, Thich Nhat Hanh",Via website,N/A,Berkeley CA,parallax.org,Via website,N/A,Unknown,High,"Thich Nhat Hanh publisher"
Hampton Roads Publishing,Traditional,Charlottesville VA,USA,"Spirituality, metaphysics, wellness",Via Red Wheel,N/A,Charlottesville VA,redwheelweiser.com,Via Red Wheel,N/A,Unknown,High,"Red Wheel/Weiser family"
Quest Books,Traditional,Wheaton IL,USA,"Spirituality, philosophy, world religions",Via website,N/A,Wheaton IL,questbooks.com,Via website,N/A,Unknown,High,"Theosophical Publishing House"
Snow Lion (Shambhala),Traditional,Boulder CO,USA,"Tibetan Buddhism, meditation",Via Shambhala,N/A,Boulder CO,shambhala.com,Via Shambhala,N/A,Unknown,High,"Shambhala imprint"
Monkfish Book Publishing,Traditional,Rhinebeck NY,USA,"Spirituality, psychology, wisdom traditions",Via website,N/A,Rhinebeck NY,monkfishpublishing.com,Via website,N/A,Unknown,High,"Independent spiritual publisher"
Lantern Publishing,Traditional,NYC,USA,"Social justice, animal rights, ethics",Via website,N/A,NYC,lanternpublishing.com,Via website,N/A,Unknown,High,"Not to be confused with Lantern Audio"
New Society Publishers,Traditional,Gabriola Island BC,Canada,"Sustainability, social justice, community",Via website,N/A,BC Canada,newsociety.com,Via website,N/A,Unknown,High,"Environmental/social focus"
Chelsea Green Publishing,Traditional,White River Junction VT,USA,"Sustainability, food, politics, nature",Via website,N/A,VT,chelseagreen.com,Via website,N/A,Unknown,High,"Employee-owned. Sustainability focus"
Island Press,Nonprofit,Washington DC,USA,"Environment, sustainability, conservation",Via website,N/A,Washington DC,islandpress.org,Via website,N/A,Unknown,High,"Nonprofit environmental publisher"
Milkweed Editions,Nonprofit,Minneapolis MN,USA,"Literary fiction, poetry, essays, nature",Via website,N/A,Minneapolis MN,milkweed.org,Via open periods,N/A,Unknown,High,"Nonprofit literary publisher"
Beacon Press,Nonprofit,Boston MA,USA,"Social issues, religion, history, science",Via website,N/A,Boston MA,beacon.org,Via website,N/A,Some,Medium,"UUA nonprofit publisher"
Catapult,Traditional,NYC,USA,"Literary fiction, memoir, essays",Via website,N/A,NYC,catapult.co,Via website,N/A,Unknown,High,"Counterpoint imprint"
Counterpoint Press,Traditional,Berkeley CA,USA,"Literary fiction, nonfiction, nature",Via website,N/A,Berkeley CA,counterpointpress.com,Via website,N/A,Unknown,High,"Soft Skull imprint"
Soft Skull Press,Traditional,Brooklyn NY,USA,"Alternative culture, politics, memoir",Via website,N/A,Brooklyn NY,softskull.com,Via website,N/A,Unknown,High,"Counterpoint imprint"
Seven Stories Press,Traditional,NYC,USA,"Politics, social issues, progressive",Via website,N/A,NYC,sevenstories.com,Via website,N/A,Unknown,High,"Independent progressive publisher"
OR Books,Traditional,NYC,USA,"Politics, current affairs, progressive",Via website,N/A,NYC,orbooks.com,Via website,N/A,Unknown,High,"Direct sales model"
Haymarket Books,Nonprofit,Chicago IL,USA,"Radical politics, social movements, history",Via website,N/A,Chicago IL,haymarketbooks.org,Via website,N/A,Unknown,High,"Nonprofit political publisher"
Verso Books,Traditional,London/NYC,UK/USA,"Left politics, theory, culture, history",Via website,N/A,London/NYC,versobooks.com,Via website,N/A,Unknown,High,"Radical publishing since 1970"
The New Press,Nonprofit,NYC,USA,"Social issues, politics, education",Via website,N/A,NYC,thenewpress.com,Via website,N/A,Unknown,High,"Nonprofit public interest publisher"
Nation Books,Traditional,NYC,USA,"Progressive politics, current affairs",Via Hachette,N/A,NYC,nationbooks.org,Via Hachette,N/A,Unknown,Medium,"Hachette imprint"
Melville House,Traditional,Brooklyn NY,USA,"Literary fiction, nonfiction, politics",Via website,N/A,Brooklyn NY,mhpbooks.com,Via website,N/A,Unknown,High,"Independent. The Last Interview series"
Europa Editions,Traditional,NYC,USA,"Literary fiction, translations, noir",Via website,N/A,NYC,europaeditions.com,Via website,N/A,Unknown,High,"Elena Ferrante publisher"
Grove Atlantic,Traditional,NYC,USA,"Literary fiction, nonfiction, translations",Via agent,N/A,NYC,groveatlantic.com,Agent typically required,N/A,Some,Medium,"Atlantic Crime imprint launching"
Algonquin Books,Traditional,Chapel Hill NC,USA,"Literary fiction, nonfiction",Via agent,N/A,Chapel Hill NC,algonquin.com,Agent typically required,N/A,Yes,Low,"Workman imprint"
W.W. Norton,Traditional,NYC,USA,"Literary fiction, nonfiction, reference",Via agent,N/A,NYC,wwnorton.com,Agent typically required,N/A,Yes,Low,"Major independent. Employee-owned"
Bloomsbury Publishing,Traditional,NYC/London,USA/UK,"Literary fiction, nonfiction, reference",Via agent/website,N/A,NYC/London,bloomsbury.com,Mixed,N/A,Yes,Low,"Bloomsbury Spark accepts direct"
Pushkin Press,Traditional,London,UK,"Literary fiction, translations, classics",Via website,N/A,London,pushkinpress.com,Via website,N/A,Unknown,High,"UK literary publisher"
Canongate Books,Traditional,Edinburgh,UK,"Literary fiction, nonfiction, narrative",Via website,N/A,Edinburgh,canongate.co.uk,Via website,N/A,Some,Medium,"Scottish independent"
Granta Books,Traditional,London,UK,"Literary fiction, memoir, reportage",Via website,N/A,London,granta.com,Via website,N/A,Unknown,High,"Granta magazine publisher"
Serpent's Tail,Traditional,London,UK,"Literary fiction, crime, culture",Via Profile Books,N/A,London,serpentstail.com,Via Profile,N/A,Unknown,Medium,"Profile Books imprint"
Picador (Pan Macmillan),Traditional,London,UK,"Literary fiction, nonfiction",Via agent,N/A,London,panmacmillan.com,Agent required,N/A,Yes,Low,"Pan Macmillan imprint"
Atlantic Books,Traditional,London,UK,"Literary fiction, narrative nonfiction",Via website,N/A,London,atlantic-books.co.uk,Via website,N/A,Some,Medium,"UK independent"
Oneworld Publications,Traditional,London,UK,"Literary fiction, nonfiction, translations",Via website,N/A,London,oneworld-publications.com,Via website,N/A,Unknown,High,"Booker Prize winners"
Legend Press,Traditional,London,UK,"Literary fiction, crime, commercial",Via website,N/A,London,legendpress.co.uk,Via website,N/A,Unknown,High,"UK independent. Tom-Emma imprint"
Unbound,Hybrid,London,UK,"Crowdfunded publishing all genres",Via website,Crowdfunded,London,unbound.com,Via website,N/A,Unknown,High,"Crowdfunding model"
Troubador (Matador),Hybrid,Leicester,UK,"All genres - self-publishing",Via website,Author pays,Leicester UK,troubador.co.uk,Via website,N/A,Author choice,High,"UK hybrid/self-pub"
Eye Books,Traditional,London,UK,"Travel, adventure, memoir",Via website,N/A,London,eye-books.com,Via website,N/A,Unknown,High,"Adventure travel focus"
Bradt Travel Guides,Traditional,Chesham,UK,"Travel guides",Via website,N/A,Chesham UK,bradtguides.com,Via website,N/A,Unknown,High,"UK travel publisher"
Biteback Publishing,Traditional,London,UK,"Politics, current affairs, biography",Via website,N/A,London,bitebackpublishing.com,Via website,N/A,Unknown,High,"UK political publisher"
Duckworth Books,Traditional,London,UK,"Literary fiction, nonfiction, classics",Via website,N/A,London,duckworthbooks.co.uk,Via website,N/A,Unknown,High,"UK independent since 1898"
Head of Zeus,Traditional,London,UK,"Fiction, nonfiction, illustrated",Via agent,N/A,London,headofzeus.com,Agent typically required,N/A,Some,Medium,"UK major independent"
Bonnier Books UK,Traditional,London,UK,"Fiction, nonfiction, children's",Via agent,N/A,London,bonnierbooks.co.uk,Agent typically required,N/A,Yes,Low,"Multiple imprints"
Michael O'Mara Books,Traditional,London,UK,"Nonfiction, puzzles, humor, biography",Via website,N/A,London,mombooks.com,Via website,N/A,Unknown,High,"UK independent"
Robinson (Little Brown),Traditional,London,UK,"Nonfiction, how-to, health, history",Via Little Brown,N/A,London,littlebrown.co.uk,Via Little Brown,N/A,Unknown,Medium,"Little Brown imprint"
Quadrille (Hardie Grant),Traditional,London,UK,"Cooking, lifestyle, craft, illustrated",Via website,N/A,London,quadrille.com,Via website,N/A,Unknown,High,"Hardie Grant imprint"
Hardie Grant,Traditional,Melbourne/London,Australia/UK,"Lifestyle, cooking, design, travel",Via website,N/A,Melbourne/London,hardiegrant.com,Via website,N/A,Unknown,High,"Australian/UK publisher"
Affirm Press,Traditional,Melbourne,Australia,"Literary fiction, nonfiction",Via website,N/A,Melbourne,affirmpress.com.au,Via website,N/A,Unknown,High,"Australian independent"
Text Publishing,Traditional,Melbourne,Australia,"Literary fiction, nonfiction",Via website,N/A,Melbourne,textpublishing.com.au,Via website,N/A,Some,Medium,"Australian literary publisher"
Scribe Publications,Traditional,Melbourne,Australia,"Literary nonfiction, current affairs",Via website,N/A,Melbourne,scribepublications.com.au,Via website,N/A,Unknown,High,"Australian independent"
Black Inc,Traditional,Melbourne,Australia,"Essays, politics, current affairs",Via website,N/A,Melbourne,blackincbooks.com.au,Via website,N/A,Unknown,High,"Australian nonfiction"
Melbourne University Publishing,Academic,Melbourne,Australia,"Academic, nonfiction, biography",Via website,N/A,Melbourne,mup.com.au,Via website,N/A,Unknown,High,"Australian academic"
NewSouth Publishing,Academic,Sydney,Australia,"Academic, nonfiction, current affairs",Via website,N/A,Sydney,newsouthpublishing.com,Via website,N/A,Unknown,High,"UNSW Press"
Penguin Random House Australia,Traditional,Sydney,Australia,"All genres commercial",Via agent,N/A,Sydney,penguinrandomhouse.com.au,Agent required,N/A,Yes,Low,"Major publisher Australia"
Pan Macmillan Australia,Traditional,Sydney,Australia,"Fiction, nonfiction commercial",Via agent,N/A,Sydney,panmacmillan.com.au,Agent required,N/A,Yes,Low,"Major publisher Australia"
Hachette Australia,Traditional,Sydney,Australia,"Fiction, nonfiction commercial",Via agent,N/A,Sydney,hachette.com.au,Agent required,N/A,Yes,Low,"Major publisher Australia"
HarperCollins Australia,Traditional,Sydney,Australia,"Fiction, nonfiction commercial",Via agent,N/A,Sydney,harpercollins.com.au,Agent required,N/A,Yes,Low,"Major publisher Australia"
Simon & Schuster Australia,Traditional,Sydney,Australia,"Fiction, nonfiction commercial",Via agent,N/A,Sydney,simonandschuster.com.au,Agent required,N/A,Yes,Low,"Major publisher Australia"
Fremantle Press,Traditional,Fremantle WA,Australia,"Literary fiction, nonfiction, poetry",Via website,N/A,Fremantle WA,fremantlepress.com.au,Via website,N/A,Unknown,High,"Western Australia focus"
UWA Publishing,Academic,Perth WA,Australia,"Academic, literary, regional",Via website,N/A,Perth WA,uwap.uwa.edu.au,Via website,N/A,Unknown,High,"University of Western Australia"
Greystone Books,Traditional,Vancouver BC,Canada,"Nature, science, sustainability",Via website,N/A,Vancouver BC,greystonebooks.com,Via website,N/A,Unknown,High,"Canadian environmental"
Douglas & McIntyre,Traditional,Vancouver BC,Canada,"BC/Canadian interest, First Nations",Via website,N/A,Vancouver BC,douglas-mcintyre.com,Via website,N/A,Unknown,High,"Canadian regional"
Arsenal Pulp Press,Traditional,Vancouver BC,Canada,"LGBTQ+, cultural studies, cooking",Via website,N/A,Vancouver BC,arsenalpulp.com,Via website,N/A,Unknown,High,"Canadian alternative"
Coach House Books,Traditional,Toronto,Canada,"Literary fiction, poetry, drama",Via website,N/A,Toronto,chbooks.com,Via website,N/A,Unknown,High,"Canadian literary"
Biblioasis,Traditional,Windsor ON,Canada,"Literary fiction, nonfiction, poetry",Via website,N/A,Windsor ON,biblioasis.com,Via website,N/A,Unknown,High,"Canadian literary"
Wolsak and Wynn,Traditional,Hamilton ON,Canada,"Literary fiction, poetry, essays",Via website,N/A,Hamilton ON,wolsakandwynn.ca,Via website,N/A,Unknown,High,"Canadian indie"
Freehand Books,Traditional,Calgary AB,Canada,"Literary fiction",Via website,N/A,Calgary AB,freehand-books.com,Via website,N/A,Unknown,High,"Canadian literary"
NeWest Press,Traditional,Edmonton AB,Canada,"Western Canadian interest, literary",Via website,N/A,Edmonton AB,newestpress.com,Via website,N/A,Unknown,High,"Western Canadian focus"
Turnstone Press,Traditional,Winnipeg MB,Canada,"Literary fiction, poetry, Manitoba",Via website,N/A,Winnipeg MB,turnstonepress.com,Via website,N/A,Unknown,High,"Manitoba focus"
Great Plains Publications,Traditional,Winnipeg MB,Canada,"Regional, literary, nonfiction",Via website,N/A,Winnipeg MB,greatplains.mb.ca,Via website,N/A,Unknown,High,"Manitoba/Prairies focus"
Thistledown Press,Traditional,Saskatoon SK,Canada,"Literary fiction, poetry, YA",Via website,N/A,Saskatoon SK,thistledownpress.com,Via website,N/A,Unknown,High,"Saskatchewan focus"
Goose Lane Editions,Traditional,Fredericton NB,Canada,"Literary fiction, nonfiction, poetry",Via website,N/A,Fredericton NB,gooselane.com,Via website,N/A,Unknown,High,"Atlantic Canada focus"
Nimbus Publishing,Traditional,Halifax NS,Canada,"Atlantic Canada interest, children's",Via website,N/A,Halifax NS,nimbus.ca,Via website,N/A,Unknown,High,"Nova Scotia focus"
Breakwater Books,Traditional,St. John's NL,Canada,"Newfoundland/Labrador interest",Via website,N/A,St. John's NL,breakwaterbooks.com,Via website,N/A,Unknown,High,"Newfoundland focus"
Second Story Press,Traditional,Toronto,Canada,"Women's issues, children's, LGBTQ+",Via website,N/A,Toronto,secondstorypress.ca,Via website,N/A,Unknown,High,"Canadian women's/children's"
Kids Can Press,Traditional,Toronto,Canada,"Children's books",Via website,N/A,Toronto,kidscanpress.com,Via website,N/A,Some,Medium,"Canadian children's. Corus Entertainment"
Groundwood Books,Traditional,Toronto,Canada,"Children's, YA, literary",Via website,N/A,Toronto,groundwoodbooks.com,Via website,N/A,Unknown,High,"House of Anansi imprint"
Orca Book Publishers,Traditional,Victoria BC,Canada,"Children's, YA, educational",Via website,N/A,Victoria BC,orcabook.com,Via website,N/A,Unknown,High,"Canadian children's/YA"
Penguin Random House Canada,Traditional,Toronto,Canada,"All genres commercial",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Yes,Low,"Major publisher Canada"
HarperCollins Canada,Traditional,Toronto,Canada,"Fiction, nonfiction commercial",Via agent,N/A,Toronto,harpercollins.ca,Agent required,N/A,Yes,Low,"Major publisher Canada"
Simon & Schuster Canada,Traditional,Toronto,Canada,"Fiction, nonfiction commercial",Via agent,N/A,Toronto,simonandschuster.ca,Agent required,N/A,Yes,Low,"Major publisher Canada"
Hachette Book Group Canada,Traditional,Toronto,Canada,"Fiction, nonfiction commercial",Via agent,N/A,Toronto,hachettebookgroup.com,Agent required,N/A,Yes,Low,"Major publisher Canada"
McClelland & Stewart,Traditional,Toronto,Canada,"Canadian literary fiction, nonfiction",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent typically required,N/A,Yes,Low,"Penguin Canada imprint"
Knopf Canada,Traditional,Toronto,Canada,"Literary fiction, nonfiction",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Yes,Low,"Penguin Canada imprint"
Random House Canada,Traditional,Toronto,Canada,"Commercial fiction, nonfiction",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Yes,Low,"Penguin Canada imprint"
Signal (McClelland),Traditional,Toronto,Canada,"Nonfiction, current affairs",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Some,Medium,"M&S nonfiction imprint"
Appetite by Random House,Traditional,Toronto,Canada,"Cooking, food, lifestyle",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Unknown,Medium,"Canadian cooking imprint"
Tundra Books,Traditional,Toronto,Canada,"Children's picture books",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Unknown,Medium,"Penguin Canada children's"
Puffin Canada,Traditional,Toronto,Canada,"Children's, YA",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Yes,Low,"Penguin Canada children's"
Viking Canada,Traditional,Toronto,Canada,"Literary fiction, nonfiction",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Yes,Low,"Penguin Canada imprint"
Doubleday Canada,Traditional,Toronto,Canada,"Commercial fiction, nonfiction",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Yes,Low,"Penguin Canada imprint"
Seal Books,Traditional,Toronto,Canada,"Mass market commercial",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Yes,Low,"Penguin Canada imprint"
Emblem Editions,Traditional,Toronto,Canada,"Literary fiction reprints",Via agent,N/A,Toronto,penguinrandomhouse.ca,Agent required,N/A,Unknown,Medium,"M&S literary imprint"
